row_id,symbol,strategy_id,strategy_title,timeframe,signal_date,signal_time,direction,simulated_intraday_pnl,simulated_state,has_event,event_ids,event_types,event_titles,event_move_percent,news_direction_alignment,event_effect,plain_effect,m12_41_preliminary_conclusion,source_refs,paper_simulated_only,broker_connection,real_orders,live_execution
m12_40_00042,TSLA,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看跌,-209.46,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00043,TSLA,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:45:00,看涨,423.68,触及目标参考,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00044,AVGO,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:25:00,看跌,-256.27,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00045,AMD,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:00:00,看涨,158.82,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00046,INTC,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-33.48,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00047,INTC,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看跌,-247.60,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00048,MU,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-145.15,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00049,MU,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看跌,76.33,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00050,QCOM,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看涨,260.05,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00051,QCOM,M12-FTD-001,方方土日线趋势顺势信号K,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-119.16,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00052,ORCL,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看涨,-280.35,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00053,CRM,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看跌,-96.55,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00054,ADBE,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看跌,-157.34,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00055,ADBE,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:35:00,看涨,144.26,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00056,NOW,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看跌,-46.72,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00057,SNOW,M10-PA-001,趋势回调二次入场,1d,2026-04-30,2026-04-30T16:00:00-04:00,看跌,-84.14,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00058,SNOW,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看跌,-213.80,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00059,PLTR,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:40:00,看涨,-24.34,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00060,PANW,M10-PA-002,突破后续跟进,5m,2026-04-30,2026-04-30T12:05:00,看涨,0.00,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
m12_40_00061,PANW,M10-PA-012,开盘区间突破,5m,2026-04-30,2026-04-30T10:05:00,看跌,-377.94,观察中,false,,,,,,none,无事件标签,no_useful_signal,,true,false,false,false
