account_count,average_holding_bars,average_loss,average_win,best_symbol,best_timeframe,cohort_id,cohort_label,cost_tier,final_equity,grain,initial_capital,max_consecutive_losses,max_drawdown,max_drawdown_percent,net_profit,profit_factor,quality_flag,return_percent,status,strategy_id,symbol,timeframe,trade_count,win_rate,worst_symbol,worst_timeframe
1,62.0308,-525.57,978.27,GLD,1d,all_m12_24,原小范围全样本,stress_high,101883.68,strategy_timeframe_symbol,100000.00,2,1051.13,1.0511,1883.68,2.7920,normal_density_review,1.8837,completed_capital_test,M10-PA-004,GLD,1d,5,0.6000,GLD,1d
1,62.0308,-518.55,997.33,GLD,1d,all_m12_24,原小范围全样本,stress_low,101954.88,strategy_timeframe_symbol,100000.00,2,1037.10,1.0371,1954.88,2.8849,normal_density_review,1.9549,completed_capital_test,M10-PA-004,GLD,1d,5,0.6000,GLD,1d
1,47.3095,-472.14,580.32,GOOG,1d,all_m12_24,原小范围全样本,baseline,93379.84,strategy_timeframe_symbol,100000.00,9,8203.32,8.2033,-6620.16,0.5326,normal_density_review,-6.6202,completed_capital_test,M10-PA-004,GOOG,1d,43,0.3023,GOOG,1d
1,47.3095,-485.83,566.97,GOOG,1d,all_m12_24,原小范围全样本,stress_high,92795.62,strategy_timeframe_symbol,100000.00,9,8643.69,8.6437,-7204.38,0.5057,normal_density_review,-7.2044,completed_capital_test,M10-PA-004,GOOG,1d,43,0.3023,GOOG,1d
1,47.3095,-475.57,576.98,GOOG,1d,all_m12_24,原小范围全样本,stress_low,93233.46,strategy_timeframe_symbol,100000.00,9,8294.63,8.2946,-6766.54,0.5257,normal_density_review,-6.7665,completed_capital_test,M10-PA-004,GOOG,1d,43,0.3023,GOOG,1d
1,46.1474,-467.03,617.14,GOOGL,1d,all_m12_24,原小范围全样本,baseline,93845.08,strategy_timeframe_symbol,100000.00,13,7149.88,7.1499,-6154.92,0.6006,normal_density_review,-6.1549,completed_capital_test,M10-PA-004,GOOGL,1d,48,0.3125,GOOGL,1d
1,46.1474,-478.96,597.00,GOOGL,1d,all_m12_24,原小范围全样本,stress_high,93149.27,strategy_timeframe_symbol,100000.00,13,7825.52,7.8255,-6850.73,0.5666,normal_density_review,-6.8507,completed_capital_test,M10-PA-004,GOOGL,1d,48,0.3125,GOOGL,1d
1,46.1474,-470.02,612.09,GOOGL,1d,all_m12_24,原小范围全样本,stress_low,93670.66,strategy_timeframe_symbol,100000.00,13,7319.26,7.3193,-6329.34,0.5919,normal_density_review,-6.3293,completed_capital_test,M10-PA-004,GOOGL,1d,48,0.3125,GOOGL,1d
1,45.1037,-478.32,763.45,INTC,1d,all_m12_24,原小范围全样本,baseline,101591.02,strategy_timeframe_symbol,100000.00,6,4050.82,4.0508,1591.02,1.1232,normal_density_review,1.5910,completed_capital_test,M10-PA-004,INTC,1d,46,0.4130,INTC,1d
1,45.1037,-488.09,751.47,INTC,1d,all_m12_24,原小范围全样本,stress_high,101099.58,strategy_timeframe_symbol,100000.00,6,4371.98,4.3720,1099.58,1.0834,normal_density_review,1.0996,completed_capital_test,M10-PA-004,INTC,1d,46,0.4130,INTC,1d
1,45.1037,-480.76,760.45,INTC,1d,all_m12_24,原小范围全样本,stress_low,101467.94,strategy_timeframe_symbol,100000.00,6,4131.21,4.1312,1467.94,1.1131,normal_density_review,1.4679,completed_capital_test,M10-PA-004,INTC,1d,46,0.4130,INTC,1d
1,34.7077,-514.42,1000.89,IVV,1d,all_m12_24,原小范围全样本,baseline,100458.52,strategy_timeframe_symbol,100000.00,3,1543.25,1.5433,458.52,1.2971,normal_density_review,0.4585,completed_capital_test,M10-PA-004,IVV,1d,5,0.4000,IVV,1d
1,34.7077,-542.06,984.43,IVV,1d,all_m12_24,原小范围全样本,stress_high,100342.69,strategy_timeframe_symbol,100000.00,3,1626.17,1.6262,342.69,1.2107,normal_density_review,0.3427,completed_capital_test,M10-PA-004,IVV,1d,5,0.4000,IVV,1d
1,34.7077,-521.33,996.77,IVV,1d,all_m12_24,原小范围全样本,stress_low,100429.55,strategy_timeframe_symbol,100000.00,3,1563.99,1.5640,429.55,1.2746,normal_density_review,0.4296,completed_capital_test,M10-PA-004,IVV,1d,5,0.4000,IVV,1d
1,49.7778,-492.47,632.28,IWM,1d,all_m12_24,原小范围全样本,baseline,95701.31,strategy_timeframe_symbol,100000.00,6,5236.89,5.2369,-4298.69,0.5406,normal_density_review,-4.2987,completed_capital_test,M10-PA-004,IWM,1d,27,0.2963,IWM,1d
1,49.7778,-508.57,615.82,IWM,1d,all_m12_24,原小范围全样本,stress_high,95263.76,strategy_timeframe_symbol,100000.00,6,5632.94,5.6329,-4736.24,0.5098,normal_density_review,-4.7362,completed_capital_test,M10-PA-004,IWM,1d,27,0.2963,IWM,1d
1,49.7778,-496.50,628.16,IWM,1d,all_m12_24,原小范围全样本,stress_low,95591.74,strategy_timeframe_symbol,100000.00,6,5336.05,5.3361,-4408.26,0.5327,normal_density_review,-4.4083,completed_capital_test,M10-PA-004,IWM,1d,27,0.2963,IWM,1d
1,40.5400,-451.41,734.81,META,1d,all_m12_24,原小范围全样本,baseline,95674.37,strategy_timeframe_symbol,100000.00,12,6560.88,6.5609,-4325.63,0.7182,normal_density_review,-4.3256,completed_capital_test,M10-PA-004,META,1d,49,0.3061,META,1d
1,40.5400,-465.77,720.89,META,1d,all_m12_24,原小范围全样本,stress_high,94977.32,strategy_timeframe_symbol,100000.00,12,7142.43,7.1424,-5022.68,0.6828,normal_density_review,-5.0227,completed_capital_test,M10-PA-004,META,1d,49,0.3061,META,1d
1,40.5400,-455.01,731.32,META,1d,all_m12_24,原小范围全样本,stress_low,95499.65,strategy_timeframe_symbol,100000.00,12,6706.61,6.7066,-4500.35,0.7091,normal_density_review,-4.5004,completed_capital_test,M10-PA-004,META,1d,49,0.3061,META,1d
1,40.0500,-448.57,831.49,MSFT,1d,all_m12_24,原小范围全样本,baseline,97417.75,strategy_timeframe_symbol,100000.00,9,4136.69,4.1367,-2582.25,0.7944,normal_density_review,-2.5823,completed_capital_test,M10-PA-004,MSFT,1d,40,0.3000,MSFT,1d
1,40.0500,-468.57,809.59,MSFT,1d,all_m12_24,原小范围全样本,stress_high,96595.13,strategy_timeframe_symbol,100000.00,9,4488.83,4.4888,-3404.87,0.7405,normal_density_review,-3.4049,completed_capital_test,M10-PA-004,MSFT,1d,40,0.3000,MSFT,1d
1,40.0500,-453.59,826.00,MSFT,1d,all_m12_24,原小范围全样本,stress_low,97211.46,strategy_timeframe_symbol,100000.00,9,4218.47,4.2185,-2788.54,0.7804,normal_density_review,-2.7885,completed_capital_test,M10-PA-004,MSFT,1d,40,0.3000,MSFT,1d
1,40.6874,-513.16,863.63,MU,1d,all_m12_24,原小范围全样本,baseline,106170.88,strategy_timeframe_symbol,100000.00,4,2237.45,2.2375,6170.88,1.4810,normal_density_review,6.1709,completed_capital_test,M10-PA-004,MU,1d,47,0.4681,MU,1d
1,40.6874,-521.55,849.06,MU,1d,all_m12_24,原小范围全样本,stress_high,105640.74,strategy_timeframe_symbol,100000.00,4,2273.23,2.2732,5640.74,1.4326,normal_density_review,5.6407,completed_capital_test,M10-PA-004,MU,1d,47,0.4681,MU,1d
1,40.6874,-515.26,859.98,MU,1d,all_m12_24,原小范围全样本,stress_low,106038.10,strategy_timeframe_symbol,100000.00,4,2246.42,2.2464,6038.10,1.4687,normal_density_review,6.0381,completed_capital_test,M10-PA-004,MU,1d,47,0.4681,MU,1d
1,40.4646,-483.22,870.82,NOW,1d,all_m12_24,原小范围全样本,baseline,102919.82,strategy_timeframe_symbol,100000.00,6,3643.40,3.6434,2919.82,1.2014,normal_density_review,2.9198,completed_capital_test,M10-PA-004,NOW,1d,50,0.4000,NOW,1d
1,40.4646,-501.57,856.95,NOW,1d,all_m12_24,原小范围全样本,stress_high,102091.90,strategy_timeframe_symbol,100000.00,6,3789.24,3.7892,2091.90,1.1390,normal_density_review,2.0919,completed_capital_test,M10-PA-004,NOW,1d,50,0.4000,NOW,1d
1,40.4646,-487.82,867.34,NOW,1d,all_m12_24,原小范围全样本,stress_low,102712.24,strategy_timeframe_symbol,100000.00,6,3680.06,3.6801,2712.24,1.1853,normal_density_review,2.7122,completed_capital_test,M10-PA-004,NOW,1d,50,0.4000,NOW,1d
1,31.9529,-467.70,736.28,NVDA,1d,all_m12_24,原小范围全样本,baseline,91530.39,strategy_timeframe_symbol,100000.00,8,9056.71,9.0567,-8469.61,0.5106,normal_density_review,-8.4696,completed_capital_test,M10-PA-004,NVDA,1d,49,0.2449,NVDA,1d
1,31.9529,-480.18,726.07,NVDA,1d,all_m12_24,原小范围全样本,stress_high,90946.35,strategy_timeframe_symbol,100000.00,8,9611.45,9.6115,-9053.65,0.4904,normal_density_review,-9.0537,completed_capital_test,M10-PA-004,NVDA,1d,49,0.2449,NVDA,1d
1,31.9529,-470.83,733.73,NVDA,1d,all_m12_24,原小范围全样本,stress_low,91384.05,strategy_timeframe_symbol,100000.00,8,9195.72,9.1957,-8615.95,0.5054,normal_density_review,-8.6160,completed_capital_test,M10-PA-004,NVDA,1d,49,0.2449,NVDA,1d
