variant_id,variant_title,symbol,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown_percent,average_holding_bars,max_consecutive_losses
pullback_guard,只加长回调保护,CRM,100000.00,77241.05,-22758.95,-22.76,424,31.60,0.84,30.07,5.41,11
pullback_guard,只加长回调保护,ADBE,100000.00,89648.06,-10351.94,-10.35,475,34.11,0.93,24.52,5.39,14
pullback_guard,只加长回调保护,NOW,100000.00,99705.66,-294.34,-0.29,419,34.37,1.00,19.35,4.89,22
pullback_guard,只加长回调保护,SNOW,100000.00,98426.72,-1573.28,-1.57,169,34.91,0.97,8.36,4.66,12
pullback_guard,只加长回调保护,PLTR,100000.00,91340.68,-8659.32,-8.66,168,31.55,0.85,10.76,4.77,9
pullback_guard,只加长回调保护,PANW,100000.00,102483.60,2483.60,2.48,410,35.61,1.02,11.76,5.47,11
follow_through_confirm,只加1-2根K线跟进确认,SPY,100000.00,102304.36,2304.36,2.30,471,37.79,1.02,14.93,9.65,15
follow_through_confirm,只加1-2根K线跟进确认,QQQ,100000.00,108967.78,8967.78,8.97,514,37.55,1.06,9.90,9.60,12
follow_through_confirm,只加1-2根K线跟进确认,IWM,100000.00,68153.79,-31846.21,-31.85,474,32.91,0.79,34.97,9.48,14
follow_through_confirm,只加1-2根K线跟进确认,DIA,100000.00,114540.14,14540.14,14.54,464,39.01,1.11,14.23,9.41,10
follow_through_confirm,只加1-2根K线跟进确认,VTI,100000.00,101287.05,1287.05,1.29,473,37.42,1.01,15.67,9.12,13
follow_through_confirm,只加1-2根K线跟进确认,VOO,100000.00,96897.57,-3102.43,-3.10,468,36.75,0.98,15.29,9.25,15
follow_through_confirm,只加1-2根K线跟进确认,IVV,100000.00,108195.93,8195.93,8.20,480,38.54,1.06,12.71,9.35,17
follow_through_confirm,只加1-2根K线跟进确认,XLK,100000.00,100873.99,873.99,0.87,523,37.09,1.01,17.93,9.40,13
follow_through_confirm,只加1-2根K线跟进确认,XLF,100000.00,89617.15,-10382.85,-10.38,402,35.82,0.91,20.67,9.60,12
follow_through_confirm,只加1-2根K线跟进确认,XLE,100000.00,97942.77,-2057.23,-2.06,423,38.30,0.98,12.18,9.65,14
follow_through_confirm,只加1-2根K线跟进确认,XLV,100000.00,121522.14,21522.14,21.52,452,39.82,1.17,6.86,10.15,11
follow_through_confirm,只加1-2根K线跟进确认,XLY,100000.00,102260.10,2260.10,2.26,492,37.20,1.02,12.49,9.05,11
follow_through_confirm,只加1-2根K线跟进确认,XLI,100000.00,110522.97,10522.97,10.52,449,39.42,1.08,14.29,9.23,17
follow_through_confirm,只加1-2根K线跟进确认,XLP,100000.00,92831.51,-7168.49,-7.17,448,36.16,0.95,23.33,9.98,13
