trade_id,session_key,split,direction,filter_state,breakout_timestamp,follow_through_timestamp,entry_timestamp,exit_timestamp,time_bucket,raw_entry_price,executed_entry_price,stop_price,target_price,exit_price,executed_exit_price,risk_per_share,quantity,pnl_per_share,pnl_cash,pnl_r,equity_after_close,exit_reason
PA-SC-002-2026-03-03-01,2026-03-03,in_sample,long,neutral,2026-03-03T11:00:00-05:00,2026-03-03T11:05:00-05:00,2026-03-03T11:10:00-05:00,2026-03-03T11:45:00-05:00,midday_1100_1330,674.5700,674.6475,671.7400,677.4000,677.4000,677.3223,2.8300,35,2.6748,93.6180,0.9452,24980.5466,target_hit
PA-SC-002-2026-03-03-02,2026-03-03,in_sample,long,neutral,2026-03-03T13:20:00-05:00,2026-03-03T13:30:00-05:00,2026-03-03T13:35:00-05:00,2026-03-03T14:45:00-05:00,midday_1100_1330,680.5500,680.6281,678.6100,682.4900,682.4900,682.4118,1.9400,36,1.7837,64.2132,0.9194,25044.7598,target_hit
PA-SC-002-2026-03-04-01,2026-03-04,in_sample,long,neutral,2026-03-04T10:05:00-05:00,2026-03-04T10:15:00-05:00,2026-03-04T10:20:00-05:00,2026-03-04T15:55:00-05:00,open_0930_1100,684.4600,684.5384,681.3600,687.5600,685.1650,685.0865,3.1000,32,0.5481,17.5392,0.1768,25062.2990,session_close
PA-SC-002-2026-03-05-01,2026-03-05,in_sample,short,neutral,2026-03-05T12:15:00-05:00,2026-03-05T12:25:00-05:00,2026-03-05T12:30:00-05:00,2026-03-05T12:45:00-05:00,midday_1100_1330,678.5100,678.4321,680.5900,676.4300,676.4300,676.5076,2.0800,36,1.9245,69.2820,0.9252,25131.5810,target_hit
PA-SC-002-2026-03-05-02,2026-03-05,in_sample,long,neutral,2026-03-05T15:00:00-05:00,2026-03-05T15:10:00-05:00,2026-03-05T15:15:00-05:00,2026-03-05T15:50:00-05:00,late_1330_1600,678.8300,678.9079,676.3800,681.2800,681.2800,681.2019,2.4500,37,2.2940,84.8780,0.9363,25216.4590,target_hit
PA-SC-002-2026-03-06-01,2026-03-06,in_sample,short,neutral,2026-03-06T15:10:00-05:00,2026-03-06T15:20:00-05:00,2026-03-06T15:25:00-05:00,2026-03-06T15:55:00-05:00,late_1330_1600,672.9400,672.8627,675.1100,670.7700,672.4900,672.5672,2.1700,37,0.2955,10.9335,0.1362,25227.3925,session_close
PA-SC-002-2026-03-09-01,2026-03-09,in_sample,long,neutral,2026-03-09T10:35:00-04:00,2026-03-09T10:40:00-04:00,2026-03-09T10:45:00-04:00,2026-03-09T11:15:00-04:00,open_0930_1100,666.9100,666.9867,664.7500,669.0700,669.0700,668.9931,2.1600,37,2.0064,74.2368,0.9289,25301.6293,target_hit
PA-SC-002-2026-03-09-02,2026-03-09,in_sample,long,neutral,2026-03-09T12:40:00-04:00,2026-03-09T12:45:00-04:00,2026-03-09T12:50:00-04:00,2026-03-09T13:00:00-04:00,midday_1100_1330,671.9700,672.0472,671.0700,672.8700,671.0700,670.9929,0.9000,37,-1.0543,-39.0091,-1.1714,25262.6202,stop_hit
PA-SC-002-2026-03-09-03,2026-03-09,in_sample,short,neutral,2026-03-09T13:15:00-04:00,2026-03-09T13:20:00-04:00,2026-03-09T13:25:00-04:00,2026-03-09T14:20:00-04:00,midday_1100_1330,669.0400,668.9631,670.8000,667.2800,670.8000,670.8771,1.7600,37,-1.9140,-70.8180,-1.0875,25191.8022,stop_hit
PA-SC-002-2026-03-10-01,2026-03-10,in_sample,long,neutral,2026-03-10T10:30:00-04:00,2026-03-10T10:35:00-04:00,2026-03-10T10:40:00-04:00,2026-03-10T11:00:00-04:00,open_0930_1100,679.5700,679.6480,677.6200,681.5200,681.5200,681.4418,1.9500,37,1.7938,66.3706,0.9199,25258.1728,target_hit
PA-SC-002-2026-03-10-02,2026-03-10,in_sample,short,neutral,2026-03-10T15:25:00-04:00,2026-03-10T15:30:00-04:00,2026-03-10T15:35:00-04:00,2026-03-10T15:55:00-04:00,late_1330_1600,677.0400,676.9623,678.6500,675.4300,677.0500,677.1277,1.6100,37,-0.1654,-6.1198,-0.1027,25252.0530,session_close
PA-SC-002-2026-03-13-01,2026-03-13,in_sample,short,neutral,2026-03-13T10:40:00-04:00,2026-03-13T10:50:00-04:00,2026-03-13T10:55:00-04:00,2026-03-13T11:35:00-04:00,open_0930_1100,666.5100,666.4333,668.8900,664.1300,664.1300,664.2064,2.3800,37,2.2269,82.3953,0.9357,25334.4483,target_hit
PA-SC-002-2026-03-13-02,2026-03-13,in_sample,long,neutral,2026-03-13T14:30:00-04:00,2026-03-13T14:40:00-04:00,2026-03-13T14:45:00-04:00,2026-03-13T15:20:00-04:00,late_1330_1600,664.4100,664.4864,663.0900,665.7300,663.0900,663.0137,1.3200,38,-1.4727,-55.9626,-1.1157,25278.4857,stop_hit
PA-SC-002-2026-03-13-03,2026-03-13,in_sample,short,neutral,2026-03-13T15:25:00-04:00,2026-03-13T15:35:00-04:00,2026-03-13T15:40:00-04:00,2026-03-13T15:55:00-04:00,late_1330_1600,661.8000,661.7238,662.7800,660.8200,662.3000,662.3762,0.9800,38,-0.6524,-24.7912,-0.6657,25253.6945,session_close
PA-SC-002-2026-03-16-01,2026-03-16,in_sample,short,neutral,2026-03-16T10:30:00-04:00,2026-03-16T10:35:00-04:00,2026-03-16T10:40:00-04:00,2026-03-16T11:30:00-04:00,open_0930_1100,668.4000,668.3232,670.3600,666.4400,670.3600,670.4370,1.9600,37,-2.1138,-78.2106,-1.0785,25175.4839,stop_hit
PA-SC-002-2026-03-16-02,2026-03-16,in_sample,short,neutral,2026-03-16T11:55:00-04:00,2026-03-16T12:00:00-04:00,2026-03-16T12:05:00-04:00,2026-03-16T13:10:00-04:00,midday_1100_1330,668.2300,668.1532,669.6200,666.8400,669.6200,669.6970,1.3900,37,-1.5438,-57.1206,-1.1106,25118.3633,stop_hit
PA-SC-002-2026-03-16-03,2026-03-16,in_sample,long,neutral,2026-03-16T14:05:00-04:00,2026-03-16T14:15:00-04:00,2026-03-16T14:20:00-04:00,2026-03-16T15:05:00-04:00,late_1330_1600,669.8100,669.8870,668.9900,670.6300,670.6300,670.5529,0.8200,37,0.6659,24.6383,0.8121,25143.0016,target_hit
PA-SC-002-2026-03-18-01,2026-03-18,in_sample,short,neutral,2026-03-18T10:25:00-04:00,2026-03-18T10:30:00-04:00,2026-03-18T10:35:00-04:00,2026-03-18T11:00:00-04:00,open_0930_1100,666.2400,666.1634,667.3800,665.1000,667.3800,667.4567,1.1400,37,-1.2933,-47.8521,-1.1345,25095.1495,stop_hit
PA-SC-002-2026-03-18-02,2026-03-18,in_sample,short,neutral,2026-03-18T14:50:00-04:00,2026-03-18T14:55:00-04:00,2026-03-18T15:00:00-04:00,2026-03-18T15:05:00-04:00,late_1330_1600,663.4000,663.3237,664.7100,662.0900,664.7100,664.7865,1.3100,37,-1.4628,-54.1236,-1.1166,25041.0259,stop_hit
PA-SC-002-2026-03-18-03,2026-03-18,in_sample,short,trend_supportive,2026-03-18T15:20:00-04:00,2026-03-18T15:25:00-04:00,2026-03-18T15:30:00-04:00,2026-03-18T15:40:00-04:00,late_1330_1600,662.9000,662.8237,663.4900,662.3100,662.3100,662.3862,0.5900,37,0.4375,16.1875,0.7415,25057.2134,target_hit
PA-SC-002-2026-03-19-01,2026-03-19,in_sample,short,neutral,2026-03-19T11:30:00-04:00,2026-03-19T11:40:00-04:00,2026-03-19T11:45:00-04:00,2026-03-19T11:55:00-04:00,midday_1100_1330,656.5100,656.4343,657.8400,655.1800,657.8400,657.9158,1.3300,38,-1.4815,-56.2970,-1.1139,25000.9164,stop_hit
