grain,strategy_id,timeframe,symbol,cost_tier,account_count,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown,max_drawdown_percent,max_consecutive_losses,average_win,average_loss,average_holding_bars,best_symbol,worst_symbol,best_timeframe,worst_timeframe,quality_flag,status
strategy_timeframe_symbol,M10-PA-008,15m,QQQ,stress_high,1,100000.00,92136.49,-7863.51,-7.8635,226,0.3584,0.8847,18235.83,18.2358,20,744.90,-470.35,197.1903,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,QQQ,stress_low,1,100000.00,102151.14,2151.14,2.1511,226,0.3584,1.0331,13046.94,13.0469,20,829.10,-448.32,197.1903,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,SPY,baseline,1,100000.00,105764.16,5764.16,5.7642,237,0.3713,1.0969,8737.93,8.7379,9,741.21,-399.08,173.9241,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,SPY,stress_high,1,100000.00,89784.89,-10215.11,-10.2151,237,0.3713,0.8421,17619.89,17.6199,9,619.07,-434.18,173.9241,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,SPY,stress_low,1,100000.00,101521.87,1521.87,1.5219,237,0.3713,1.0250,10983.97,10.9840,9,709.06,-408.56,173.9241,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,TSLA,baseline,1,100000.00,126348.83,26348.83,26.3488,237,0.4051,1.3253,6072.25,6.0723,11,1118.12,-574.40,238.1572,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,TSLA,stress_high,1,100000.00,118725.14,18725.14,18.7251,237,0.4051,1.2269,7144.65,7.1447,11,1054.72,-585.30,238.1572,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,TSLA,stress_low,1,100000.00,124398.46,24398.46,24.3985,237,0.4051,1.2998,6306.59,6.3066,11,1101.96,-577.23,238.1572,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,NVDA,baseline,1,100000.00,91597.80,-8402.20,-8.4022,69,0.2464,0.6591,9801.31,9.8013,10,955.72,-474.03,155.0747,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,NVDA,stress_high,1,100000.00,91256.04,-8743.96,-8.7440,69,0.2464,0.6484,10128.51,10.1285,10,948.62,-478.28,155.0747,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,NVDA,stress_low,1,100000.00,91512.24,-8487.76,-8.4878,69,0.2464,0.6564,9883.22,9.8832,10,953.95,-475.09,155.0747,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,QQQ,baseline,1,100000.00,101654.05,1654.05,1.6541,74,0.3514,1.0662,4940.15,4.9402,7,1025.25,-520.88,121.4948,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,QQQ,stress_high,1,100000.00,100587.53,587.53,0.5875,74,0.3514,1.0229,5499.29,5.4993,7,1008.08,-533.80,121.4948,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,QQQ,stress_low,1,100000.00,101386.39,1386.39,1.3864,74,0.3514,1.0551,5080.75,5.0808,7,1020.95,-524.13,121.4948,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,SPY,baseline,1,100000.00,95590.07,-4409.93,-4.4099,77,0.2987,0.8323,7155.45,7.1555,8,951.90,-487.11,170.6633,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,SPY,stress_high,1,100000.00,94343.32,-5656.68,-5.6567,77,0.2987,0.7907,8188.61,8.1886,8,928.88,-500.39,170.6633,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
